UserID,WindowID,Split,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
1026394,1,Train,Irving,TX,US,75062,High School,"Business/Commerce, General",2009-05-01 00:00:00,2,1.0,No,No,0
1026496,1,Train,McKinney,TX,US,75070,High School,Not Applicable,2004-01-01 00:00:00,5,5.0,Yes,Yes,15
1026714,1,Train,Hallandale,FL,US,33009,Vocational,Culinary Arts/Chef Training,1997-06-01 00:00:00,3,14.0,No,Yes,70
1027274,1,Train,Columbia,MD,US,21044,Associate's,Criminal Justice,1985-05-01 00:00:00,4,14.0,,No,0
1028333,1,Train,Belmar,NJ,US,07719,,,,10,11.0,Yes,Yes,48
1029570,1,Train,Fort Worth,TX,US,76137,Master's,,,5,10.0,Yes,No,0
1030182,1,Train,Denver,CO,US,80205,Associate's,Computer/Electronics Technology,2001-01-01 00:00:00,4,7.0,No,No,0
1032824,1,Train,Chicago,IL,US,60639,,,,5,16.0,No,No,0
1033482,1,Test,Miami,FL,US,33185,High School,Information technology,2011-06-01 00:00:00,1,1.0,No,No,0
1034450,1,Test,Guttenberg,NJ,US,07093,Master's,Finance,2010-12-01 00:00:00,7,6.0,,No,0
1034565,1,Train,Chicago,IL,US,60617,,Business,,4,20.0,No,No,0
1034778,1,Train,Fort Wayne,IN,US,46815,Master's,,1998-01-01 00:00:00,4,8.0,No,Yes,300
1034905,1,Test,Tempe,AZ,US,85281,High School,"Education, General",2001-05-01 00:00:00,4,5.0,No,Yes,40
1035410,1,Test,Desoto,TX,US,75115,Bachelor's,Business Administration,2012-04-01 00:00:00,6,7.0,Yes,No,0
1037676,1,Train,Massapequa,NY,US,11758,,,,5,15.0,Yes,No,0
1038293,1,Train,Fort Lauderdale,FL,US,33316,High School,Not Applicable,,10,23.0,No,Yes,65
1038614,1,Train,Phoenix,AZ,US,85043,High School,Not Applicable,2010-01-01 00:00:00,5,5.0,No,No,0
1039030,1,Train,Middletown,DE,US,19709,,,,3,7.0,No,No,0
1039544,1,Train,Ewing,NJ,US,08618,,Accounting,2016-01-01 00:00:00,9,9.0,,No,0
1039912,1,Train,Random Lake,WI,US,53075,Associate's,Veterinary Technician,,2,1.0,Yes,No,0
1041158,1,Test,East Northport,NY,US,11731,Master's,,1999-01-01 00:00:00,5,22.0,,No,0
1041348,1,Test,Fort Lauderdale,FL,US,33311,,,2011-01-01 00:00:00,3,11.0,Yes,No,0
1041360,1,Train,Niles,IL,US,60714,,"Business Administration and Management, General",2014-12-01 00:00:00,7,12.0,Yes,Yes,15
1042723,1,Test,Astoria,NY,US,11105,Master's,Finance,,7,4.0,No,No,0
1043514,1,Train,Clarkston,GA,US,30021,High School,EDUCATION,2007-06-01 00:00:00,3,9.0,Yes,No,0
1044932,1,Test,Wichita,KS,US,67213,Bachelor's,Accounting and Computer Science,2006-01-01 00:00:00,6,10.0,,No,0
1045392,1,Train,Fort Worth,TX,US,76105,Bachelor's,Liberal Studies,2006-01-01 00:00:00,3,13.0,Yes,No,0
1046310,1,Test,Baltimore,MD,US,21227,High School,Not Applicable,2005-01-01 00:00:00,0,,,No,0
1047104,1,Train,Channahon,IL,US,60410,High School,Not Applicable,2006-05-01 00:00:00,4,4.0,Yes,No,0
1047398,1,Train,Schiller Park,IL,US,60176,High School,Not Applicable,,2,1.0,No,No,0
1047891,1,Test,Rocky Mount,NC,US,27804,Bachelor's,Education,2008-05-01 00:00:00,6,7.0,Yes,No,0
1050047,1,Test,Allen,TX,US,75013,Associate's,Bible/Biblical Studies,2001-05-01 00:00:00,3,12.0,,No,0
1050558,1,Train,Monroe,NC,US,28110,High School,,1988-06-01 00:00:00,1,1.0,No,Yes,20
1051704,1,Train,Gracey,KY,US,42232,,,,1,7.0,No,Yes,10
1053059,1,Train,Indianapolis,IN,US,46221,Associate's,"Business Administration and Management, General",2011-12-01 00:00:00,1,4.0,Yes,Yes,145
1053778,1,Train,Buchanan,NY,US,10511,High School,Not Applicable,1987-09-01 00:00:00,5,11.0,No,Yes,10
1054791,1,Test,Virginia Beach,VA,US,23464,High School,Not Applicable,2005-05-01 00:00:00,3,6.0,No,No,0
1054953,1,Test,South Elgin,IL,US,60177,Bachelor's,Game Art & Design,2007-10-01 00:00:00,5,8.0,No,Yes,50
1054987,1,Train,Santa Ana,CA,US,92706,High School,,1990-01-01 00:00:00,3,9.0,,No,0
1055231,1,Train,Daytona Beach,FL,US,32117,Associate's,Health Informatics,,3,4.0,Yes,No,0
1055274,1,Train,Los Angeles,CA,US,90016,Bachelor's,Business Administration,2012-04-01 00:00:00,4,5.0,No,No,0
1055433,1,Train,Los Alamitos,CA,US,90720,Associate's,Business Administration,1998-05-01 00:00:00,7,17.0,,No,0
1056098,1,Test,Chicago,IL,US,60619,Bachelor's,Business Administration/Management,2011-12-01 00:00:00,3,3.0,No,No,0
1057129,1,Train,Charlotte,NC,US,28205,,Medical Billing,2004-01-01 00:00:00,5,13.0,Yes,No,0
1057535,1,Train,Woodstock,GA,US,30188,,Welding & Joining Technology,2011-01-01 00:00:00,3,4.0,No,No,0
1059210,1,Train,Miami,FL,US,33169,Bachelor's,Medical Assistant Technician,2010-08-01 00:00:00,2,2.0,Yes,Yes,3
1059855,1,Train,Clinton,MD,US,20735,,,2009-09-01 00:00:00,6,7.0,Yes,No,0
1060093,1,Train,Montclair,CA,US,91763,High School,,1989-06-01 00:00:00,4,19.0,No,Yes,15
1060695,1,Train,Phoenix,AZ,US,85035,High School,Not Applicable,1999-09-01 00:00:00,9,12.0,No,No,0
1061250,1,Train,Fort Worth,TX,US,76123,Bachelor's,Psychology,,3,5.0,Yes,No,0
1061308,1,Train,Hanover Park,IL,US,60133,,Early Childhood Education Candidate,2012-05-01 00:00:00,6,11.0,Yes,Yes,5
1064233,1,Test,Tampa,FL,US,33634,,diploma,2008-01-01 00:00:00,3,3.0,No,No,0
1064298,1,Train,Frisco,TX,US,75034,Associate's,,,1,13.0,No,Yes,5
1064400,1,Train,Chester,VA,US,23831,High School,Not Applicable,2005-01-01 00:00:00,4,5.0,,No,0
1064881,1,Train,Mesa,AZ,US,85207,Master's,Health Care Management,2011-09-01 00:00:00,5,15.0,Yes,No,0
1065099,1,Train,Indianapolis,IN,US,46226,High School,General High,2000-01-01 00:00:00,5,7.0,Yes,No,0
1065457,1,Train,Jersey City,NJ,US,07305,Associate's,Business,1995-01-01 00:00:00,9,15.0,No,No,0
1065519,1,Train,Little Rock,AR,US,72210,Bachelor's,Finance,2011-12-01 00:00:00,5,9.0,Yes,Yes,15
1065689,1,Train,Chicago Heights,IL,US,60411,Vocational,Basic Welding Certificate,2011-08-01 00:00:00,4,4.0,No,No,0
1067239,1,Train,Port Saint Lucie,FL,US,34953,Bachelor's,Human Resources,,6,11.0,No,No,0
1067292,1,Train,Miami,FL,US,33150,Associate's,Criminal Justice,2012-05-01 00:00:00,6,5.0,Yes,Yes,3
1067352,1,Train,Fullerton,CA,US,92832,Bachelor's,Cellular and Developmental Biology,2012-04-01 00:00:00,3,5.0,Yes,No,0
1067513,1,Test,Bronx,NY,US,10469,Bachelor's,Psychology,2010-05-01 00:00:00,3,6.0,No,Yes,5
1068133,1,Test,Hillside,NJ,US,07205,Associate's,"Business Administration, Management and Operations, Other",2011-06-01 00:00:00,3,5.0,No,Yes,17
1068376,1,Train,Justice,IL,US,60458,Associate's,Business Administration,,3,8.0,No,No,0
1069214,1,Train,Rego Park,NY,US,11374,High School,Not Applicable,,0,,No,No,0
1069562,1,Train,Orange,NJ,US,07050,High School,Not Applicable,2006-06-01 00:00:00,3,7.0,No,Yes,10
1070259,1,Test,Overland Park,KS,US,66204,Associate's,Medical Insurance Coding Specialist/Coder,2012-02-01 00:00:00,4,8.0,No,No,0
1070463,1,Train,Mc Leansville,NC,US,27301,PhD,Computer Information Systems Candidate,,4,11.0,Yes,No,0
1070750,1,Train,Columbia,SC,US,29203,High School,Not Applicable,2003-05-01 00:00:00,3,7.0,No,No,0
1071006,1,Train,Woodlynne,NJ,US,08107,High School,Not Applicable,2001-01-01 00:00:00,5,8.0,Yes,Yes,8
1071372,1,Train,Brooklyn,NY,US,11213,Associate's,Biology A.S,2011-03-01 00:00:00,6,7.0,No,No,0
1072780,1,Train,La Vergne,TN,US,37086,Bachelor's,Management,2011-05-01 00:00:00,4,9.0,Yes,Yes,2
1074120,1,Test,Lauderhill,FL,US,33313,Associate's,Early Childhood Education and Teaching,2011-12-01 00:00:00,7,16.0,No,Yes,15
1074444,1,Train,Los Angeles,CA,US,90062,,,2001-01-01 00:00:00,8,12.0,Yes,No,0
1074473,1,Train,Columbus,OH,US,43205,Master's,Computer Science,,9,14.0,Yes,No,0
1076981,1,Train,Dallas,TX,US,75238,Associate's,Business Administration /Certificate,2001-01-01 00:00:00,6,12.0,No,No,0
1077095,1,Train,Bronx,NY,US,10472,,,,4,12.0,Yes,Yes,10
1078973,1,Train,Indianapolis,IN,US,46218,,,,4,6.0,No,No,0
1079448,1,Train,Hempstead,NY,US,11550,Master's,Certified Medical Assistant,2011-12-01 00:00:00,2,1.0,Yes,No,0
1080142,1,Train,Houston,TX,US,77072,High School,,2003-05-01 00:00:00,4,5.0,No,Yes,10
1080682,1,Train,Lakewood,CO,US,80214,Bachelor's,IT Securities,2012-04-01 00:00:00,3,9.0,,No,0
1080768,1,Test,Greenwood,IN,US,46142,Associate's,Paralegal/Legal Assistant,2012-05-01 00:00:00,5,9.0,No,No,0
1081065,1,Train,Noblesville,IN,US,46060,Bachelor's,Telecommunications,,3,13.0,Yes,Yes,75
1083580,1,Train,Clearwater,FL,US,33765,High School,Not Applicable,1973-01-01 00:00:00,7,22.0,No,Yes,15
1083751,1,Train,Rockland,DE,US,19732,High School,Not Applicable,,2,35.0,No,Yes,37
1083901,1,Train,Houston,TX,US,77082,Bachelor's,,,7,26.0,Yes,No,0
1084313,1,Train,Gonzales,LA,US,70737,,,,4,12.0,Yes,Yes,12
1085855,1,Train,Redlands,CA,US,92374,,Business Administration,,4,12.0,No,No,0
1088437,1,Train,Independence,MO,US,64055,Vocational,Medical Billing & Coding Specialist,2007-09-01 00:00:00,1,3.0,No,No,0
1088687,1,Train,Roanoke,TX,US,76262,,,,3,5.0,Yes,Yes,10
1088778,1,Test,Lawrenceville,GA,US,30043,,,,1,2.0,No,Yes,8
1089409,1,Test,Hyattsville,MD,US,20785,Master's,Business Management,2012-06-01 00:00:00,6,10.0,Yes,No,0
1091664,1,Train,Roseville,MI,US,48066,Bachelor's,,2014-06-01 00:00:00,4,16.0,Yes,Yes,15
1092232,1,Train,Willingboro,NJ,US,08046,,Information Systems,2012-06-01 00:00:00,2,4.0,No,No,0
1092535,1,Train,Queens Village,NY,US,11428,Associate's,Commercial Arts,2011-03-01 00:00:00,4,10.0,Yes,No,0
1093699,1,Train,Astoria,NY,US,11103,Master's,Economics,2011-04-01 00:00:00,6,4.0,Yes,Yes,5
1094108,1,Train,Phoenix,AZ,US,85001,Bachelor's,Business Administration,,10,9.0,No,Yes,80
1094181,1,Train,Maysville,KY,US,41056,,,,5,16.0,No,Yes,30
1095642,1,Train,Somerset,NJ,US,08873,Bachelor's,Accounting,,6,9.0,,No,0
1095740,1,Train,Alexandria,VA,US,22311,Associate's,General Studies,,4,4.0,,No,0
1096153,1,Test,Mooresville,IN,US,46158,High School,Not Applicable,,3,8.0,No,No,0
1097621,1,Test,Sacramento,CA,US,95822,High School,Not Applicable,,2,4.0,No,No,0
1098432,1,Train,Onancock,VA,US,23417,High School,,1995-06-01 00:00:00,4,10.0,Yes,Yes,15
1098855,1,Test,Pompano Beach,FL,US,33060,Associate's,Medical Office Assistant/Specialist,2010-01-01 00:00:00,3,4.0,Yes,No,0
1099281,1,Train,Blue Springs,MO,US,64014,,,,7,6.0,Yes,No,0
1099559,1,Train,Casagiove,Caserta,IT,,Master's,Institutional and Business Commuication,2007-01-01 00:00:00,2,4.0,Yes,No,0
1100918,1,Train,Memphis,TN,US,38118,Bachelor's,Business Administration and Computer,2004-01-01 00:00:00,4,9.0,Yes,No,0
1101227,1,Test,Greenville,TX,US,75402,High School,"Mathematics, General",1985-05-01 00:00:00,3,27.0,No,Yes,20
1103110,1,Train,Germantown,MD,US,20874,,Business Administration,,5,13.0,Yes,No,0
1103249,1,Train,Edison,NJ,US,08817,Bachelor's,Marketing Management,2001-05-01 00:00:00,6,11.0,Yes,Yes,4
1104176,1,Train,Miami,FL,US,33179,High School,HS Diploma,2005-01-01 00:00:00,4,8.0,Yes,Yes,12
1105171,1,Train,Rockwall,TX,US,75032,,Hotel and Institutional Management,2000-05-01 00:00:00,6,10.0,No,Yes,45
1105204,1,Train,Clifton,NJ,US,07011,Associate's,"Business Administration and Management, General",,5,6.0,Yes,No,0
1105987,1,Test,Irving,TX,US,75038,High School,,2007-05-01 00:00:00,5,6.0,,No,0
1106267,1,Test,Phoenix,AZ,US,85032,Master's,Leadership,2009-01-01 00:00:00,6,12.0,No,No,0
1106338,1,Train,Winder,GA,US,30680,,Business,2012-04-01 00:00:00,6,12.0,No,No,0
1107861,1,Train,Miami,FL,US,33155,High School,Not Applicable,,6,15.0,Yes,No,0
1108471,1,Train,Desoto,TX,US,75115,High School,Not Applicable,2011-06-01 00:00:00,0,,No,No,0
1108590,1,Train,Allentown,PA,US,18102,High School,computer electronic engineering,,4,7.0,No,No,0
1108996,1,Train,Raleigh,NC,US,27609,Bachelor's,Accounting & Religion,1994-05-01 00:00:00,4,16.0,No,No,0
1109355,1,Train,Rome,GA,US,30162,,,,0,,No,No,0
1109359,1,Train,Laurel,MD,US,20707,Bachelor's,UMUC Business Administration,2007-01-01 00:00:00,9,18.0,,No,0
1109491,1,Train,Irving,TX,US,75038,High School,Not Applicable,2008-06-01 00:00:00,3,3.0,Yes,No,0
1109604,1,Train,Cincinnati,OH,US,45205,High School,"Education, General",2006-01-01 00:00:00,5,6.0,No,Yes,5
1109871,1,Train,Hialeah,FL,US,33012,Bachelor's,Business,,5,32.0,Yes,Yes,30
1110006,1,Test,Snellville,GA,US,30039,High School,Not Applicable,1994-06-01 00:00:00,2,14.0,No,Yes,22
1111960,1,Train,Richmond,VA,US,23231,Master's,,2007-01-01 00:00:00,4,7.0,Yes,No,0
1113212,1,Train,Phoenix,AZ,US,85043,Bachelor's,Medical Assisting,2004-01-01 00:00:00,4,11.0,No,No,0
1113642,1,Train,Deland,FL,US,32720,Associate's,Business Management,2005-06-01 00:00:00,3,9.0,Yes,No,0
1114037,1,Train,Clinton,MD,US,20735,Bachelor's,Political Science and Mass Communication,2010-01-01 00:00:00,5,7.0,No,No,0
1114618,1,Train,Phoenix,AZ,US,85044,,,,0,,,No,0
1115660,1,Train,Valley Stream,NY,US,11580,Associate's,Construction Management,2002-05-01 00:00:00,4,13.0,No,Yes,8
1115858,1,Train,Chicago,IL,US,60619,Associate's,Construction Management,2013-06-01 00:00:00,2,3.0,No,No,0
1116053,1,Test,Plainfield,IN,US,46168,High School,General Studies,1990-05-01 00:00:00,1,6.0,,No,0
1117059,1,Test,Boynton Beach,FL,US,33437,High School,Not Applicable,2009-01-01 00:00:00,3,9.0,Yes,Yes,3
1117093,1,Test,Flushing,NY,US,11354,PhD,,,5,9.0,No,Yes,3
1117740,1,Test,Detroit,MI,US,48202,,,,6,9.0,No,No,0
1118303,1,Test,Oklahoma City,OK,US,73106,Master's,MLA,2005-05-01 00:00:00,1,1.0,No,Yes,10
1118533,1,Test,Indianapolis,IN,US,46206-3103,PhD,,,4,11.0,Yes,Yes,5
1119090,1,Train,Irving,TX,US,75063,Associate's,Science,2014-05-01 00:00:00,7,11.0,No,No,0
1121952,1,Train,Atlanta,GA,US,30318,High School,,1993-06-01 00:00:00,3,7.0,No,No,0
1123289,1,Train,Houston,TX,US,77063,Master's,Strategic Leadership,2011-07-01 00:00:00,6,13.0,Yes,Yes,6
1123385,1,Train,Baltimore,MD,US,21229,,,1998-06-01 00:00:00,5,18.0,No,No,0
1124224,1,Test,Phoenix,AZ,US,85053,Associate's,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert",1984-12-01 00:00:00,10,17.0,Yes,No,0
1124409,1,Train,Washington,DC,US,20002,Master's,Management and Systems,2013-12-01 00:00:00,3,9.0,No,No,0
1126292,1,Train,Cincinnati,OH,US,45204,High School,Not Applicable,1983-01-01 00:00:00,7,14.0,No,Yes,5
1126717,1,Test,Elmhurst,NY,US,11373,Associate's,Business Administration,2009-09-01 00:00:00,4,5.0,Yes,No,0
1127206,1,Test,Cliffside Park,NJ,US,07010,Master's,Electronics Communication and Computer Engineering,,4,11.0,Yes,No,0
1128021,1,Train,Florissant,MO,US,63033,Bachelor's,Business,,4,15.0,Yes,No,0
1128776,1,Test,Baltimore,MD,US,21217,High School,,2008-06-01 00:00:00,3,5.0,No,No,0
1130471,1,Train,Plano,TX,US,75024,,Business Administrator,2002-01-01 00:00:00,4,4.0,Yes,Yes,25
1130647,1,Train,Chicago,IL,US,60637,High School,"Education, General",2011-11-01 00:00:00,2,5.0,Yes,No,0
1131628,1,Train,Houston,TX,US,77083,Associate's,,1989-01-01 00:00:00,8,23.0,Yes,Yes,6
1131746,1,Train,Houston,TX,US,77083,Bachelor's,Business Administration/Project Management,2012-09-01 00:00:00,0,,No,Yes,10
1131798,1,Test,Orangeburg,SC,US,29118,High School,Diploma,1996-05-01 00:00:00,8,10.0,No,No,0
1133035,1,Train,Lindenwold,NJ,US,08021,Bachelor's,"Business Administration and Management, General",2014-05-01 00:00:00,6,12.0,Yes,No,0
1133808,1,Train,Hialeah,FL,US,33015,Associate's,Nursing,2007-05-01 00:00:00,4,9.0,Yes,Yes,2
1136785,1,Train,Milwaukee,WI,US,53218,High School,General Education,,3,14.0,Yes,No,0
1137307,1,Train,East Orange,NJ,US,07017,Master's,,,3,29.0,No,Yes,259
1137408,1,Test,Louisville,KY,US,40211,,Business Administration,2008-01-01 00:00:00,3,10.0,No,Yes,10
1137660,1,Train,Lisle,IL,US,60532,High School,General Studies,2008-05-01 00:00:00,7,5.0,Yes,Yes,4
1139251,1,Train,Hypoluxo,FL,US,33462,High School,Not Applicable,,5,10.0,Yes,No,0
1140129,1,Train,Dallas,TX,US,75243,High School,Not Applicable,2007-05-01 00:00:00,3,1.0,No,Yes,2
1140500,1,Train,Charlotte,NC,US,28273,High School,"Engineering, Technology, and Science",2009-06-01 00:00:00,3,5.0,Yes,No,0
1141519,1,Train,Pompano Beach,FL,US,33064,,,,4,7.0,,No,0
1141835,1,Train,Alexandria,VA,US,22311,Master's,Educational & Human Resource Leadership,2008-01-01 00:00:00,8,5.0,No,Yes,3
1145295,1,Train,Charlotte,NC,US,28216,High School,,1988-06-01 00:00:00,3,15.0,Yes,Yes,4
1147717,1,Train,Dallas,TX,US,75237,Bachelor's,Science,2004-12-01 00:00:00,7,6.0,No,No,0
1148420,1,Train,Oak Park,MI,US,48237,Bachelor's,PSYCHOLOGY,2011-09-01 00:00:00,4,15.0,Yes,No,0
1148680,1,Train,Bear,DE,US,19701,High School,Business Technology,2010-06-01 00:00:00,2,2.0,,No,0
1148741,1,Test,Tawas City,MI,US,48763,Master's,Marketing,,3,24.0,,No,0
1149441,1,Train,Los Angeles,CA,US,90016,High School,Not Applicable,2009-10-01 00:00:00,4,4.0,Yes,No,0
1151126,1,Train,Baltimore,MD,US,21215,Bachelor's,,,5,5.0,Yes,No,0
1151142,1,Train,Raleigh,NC,US,27606,Bachelor's,Accounting,2002-04-01 00:00:00,5,8.0,No,Yes,25
1151402,1,Train,Grayson,GA,US,30017,Master's,Hoffman,2009-07-01 00:00:00,9,22.0,Yes,No,0
1155849,1,Train,Cincinnati,OH,US,45231,,,1977-01-01 00:00:00,5,16.0,,No,0
1158179,1,Test,Redford,MI,US,48240,High School,Not Applicable,2001-01-01 00:00:00,1,9.0,Yes,No,0
1158450,1,Train,Bowie,MD,US,20720,Bachelor's,Communications Radio,1995-01-01 00:00:00,3,14.0,No,No,0
1158591,1,Test,Hurst,TX,US,76053,High School,,1998-06-01 00:00:00,10,12.0,Yes,Yes,8
1159365,1,Test,Kansas City,MO,US,64131,High School,Not Applicable,1985-01-01 00:00:00,5,17.0,Yes,No,0
1160661,1,Train,Karachi,,PK,,Bachelor's,Humanities,2011-01-01 00:00:00,5,11.0,,No,0
1160872,1,Train,Austin,TX,US,78727,High School,Not Applicable,,2,3.0,No,No,0
1161007,1,Train,Indianapolis,IN,US,46219,Associate's,Automobile/Automotive Mechanics Technology/Technician,2012-01-01 00:00:00,0,,,No,0
1161340,1,Train,San Tan Valley,AZ,US,85143,,,1996-01-01 00:00:00,5,6.0,No,Yes,20
1161604,1,Train,Columbia,MD,US,21045,High School,Not Applicable,1996-06-01 00:00:00,4,7.0,Yes,No,0
1161867,1,Train,Stone Mountain,GA,US,30083,Bachelor's,B/A Business Administration,2007-01-01 00:00:00,2,12.0,No,Yes,25
1162041,1,Train,Melrose Park,IL,US,60160,,,,3,11.0,No,Yes,4
1162307,1,Train,Dallas,TX,US,75248,Associate's,Security & Welding,1992-08-01 00:00:00,0,,,No,0
1162460,1,Train,Indianapolis,IN,US,46201,,,,5,10.0,No,Yes,8
1162554,1,Train,Blue Island,IL,US,60406,,Liberal Studies,2010-01-01 00:00:00,4,10.0,Yes,No,0
1163493,1,Train,Tampa,FL,US,33634,Bachelor's,Fashion Design and Marketing,2008-09-01 00:00:00,4,6.0,,No,0
1166736,1,Train,Miami,FL,US,33135,High School,Over all studies,2005-02-01 00:00:00,4,6.0,No,No,0
1166749,1,Train,Evanston,IL,US,60202,,Business Administration,1983-01-01 00:00:00,5,26.0,No,No,0
1167110,1,Train,Houston,TX,US,77085,Bachelor's,Accounting,,9,9.0,Yes,No,0
1168671,1,Train,Dundalk,MD,US,21222,Bachelor's,Construction Engineering Technology/Technician,2012-08-01 00:00:00,2,3.0,No,No,0
1168995,1,Train,Endicott,NY,US,13760,Bachelor's,Communications,2007-05-01 00:00:00,4,13.0,Yes,No,0
1169253,1,Train,Villa Park,IL,US,60181,Associate's,,2011-12-01 00:00:00,3,12.0,No,Yes,4
1170744,1,Train,Los Angeles,CA,US,90049,Master's,Business Administration,1989-01-01 00:00:00,5,27.0,Yes,Yes,12
1170893,1,Train,Hurst,TX,US,76053,Bachelor's,Business,,4,5.0,Yes,Yes,4
1171292,1,Test,Raleigh,NC,US,27603,High School,Not Applicable,2006-06-01 00:00:00,5,8.0,No,No,0
1171503,1,Train,Pompano Beach,FL,US,33064,Associate's,NEPHROLOGY And Renal failure,2008-01-01 00:00:00,3,7.0,No,No,0
1171858,1,Train,Lake Worth,FL,US,33460,,Child Care,2014-06-01 00:00:00,4,8.0,Yes,No,0
1172463,1,Train,Fort Worth,TX,US,76133,,,,0,,,No,0
1173486,1,Train,White Bear Lake,MN,US,55110,,Health Science,2008-09-01 00:00:00,9,13.0,Yes,No,0
1174611,1,Train,Houston,TX,US,77042,Master's,Accounting,,5,8.0,Yes,No,0
1174766,1,Train,Lauderhill,FL,US,33313,High School,,2006-06-01 00:00:00,5,10.0,No,No,0
1175795,1,Train,Arlington,TX,US,76006,High School,,2009-01-01 00:00:00,7,3.0,Yes,No,0
1177110,1,Train,Los Angeles,CA,US,90001,Associate's,Automobile/Automotive Mechanics Technology/Technician,2008-08-01 00:00:00,5,8.0,No,No,0
1177885,1,Train,Tempe,AZ,US,85282,,,,0,,No,Yes,75
1178693,1,Test,Kansas City,KS,US,66102,Master's,"Business Administration and Management, General",1997-07-01 00:00:00,2,10.0,Yes,Yes,200
1179564,1,Train,Silver Spring,MD,US,20910,,,1997-06-01 00:00:00,10,16.0,Yes,No,0
1181540,1,Train,Dallas,TX,US,75228,High School,Regular/General High School/Secondary Diploma Program,2004-05-01 00:00:00,7,9.0,No,No,0
1181619,1,Test,Marietta,GA,US,30062,Vocational,Business,2002-01-01 00:00:00,4,19.0,No,No,0
1183032,1,Train,Winter Springs,FL,US,32708,Bachelor's,ENVIRONMENTAL / CIVIL,1998-01-01 00:00:00,6,9.0,Yes,Yes,125
1183367,1,Test,Jackson Heights,NY,US,11372,Bachelor's,Bangladesh- Second Class,2006-01-01 00:00:00,5,9.0,Yes,Yes,3
1183581,1,Train,Louisville,KY,US,40216,Associate's,,1999-05-01 00:00:00,10,10.0,No,No,0
1185010,1,Train,Kokomo,IN,US,46901,Associate's,Business Management,,4,21.0,No,No,0
1185072,1,Train,Brooklyn,NY,US,11201,Bachelor's,Cultural Deviance,2011-06-01 00:00:00,4,5.0,No,Yes,10
1185363,1,Train,Dekalb,IL,US,60115,Bachelor's,"Business Administration, Management and Operations, Other",2013-03-01 00:00:00,3,4.0,,No,0
1186227,1,Test,Hoover,AL,US,35216,High School,,1992-06-01 00:00:00,3,6.0,Yes,Yes,100
1187296,1,Train,Rock Hill,SC,US,29730,High School,Not Applicable,2008-06-01 00:00:00,4,5.0,No,No,0
1187384,1,Train,Silver Spring,MD,US,20904,PhD,,2004-12-01 00:00:00,9,14.0,Yes,No,0
1187856,1,Train,Nashville,TN,US,37207,High School,Not Applicable,2009-05-01 00:00:00,2,2.0,No,No,0
1187922,1,Train,Euless,TX,US,76040,High School,Not Applicable,2011-06-01 00:00:00,3,4.0,Yes,No,0
1188545,1,Train,Washington,DC,US,20001,Bachelor's,Marketing/Business Administration,,8,16.0,No,No,0
1190426,1,Train,Indianapolis,IN,US,46229,High School,Not Applicable,,5,5.0,Yes,No,0
1190482,1,Train,Victorville,CA,US,92393,Vocational,Dental Assisting/Assistant,2011-08-01 00:00:00,10,11.0,Yes,Yes,15
1190658,1,Train,Delray Beach,FL,US,33483,Bachelor's,Behavioral Science,2004-05-01 00:00:00,3,11.0,No,Yes,5
1191122,1,Train,Indianapolis,IN,US,46218,High School,College/University Preparatory and Advanced High School/Secondary Diploma Program,1993-03-01 00:00:00,5,8.0,Yes,Yes,12
1192891,1,Train,Miami,FL,US,33183,Bachelor's,"Economics, International Economics",2011-12-01 00:00:00,3,5.0,No,Yes,5
1193573,1,Test,Fort Worth,TX,US,76115,High School,Not Applicable,1993-05-01 00:00:00,4,14.0,Yes,No,0
1195218,1,Test,Waterford,MI,US,48327,Bachelor's,Marketing,2006-04-01 00:00:00,5,7.0,,No,0
1195697,1,Train,Arlington,VA,US,22202,Bachelor's,Visual Communications,,0,,No,No,0
1195821,1,Test,Miami,FL,US,33179,Bachelor's,Management and Supervision,2014-05-01 00:00:00,7,9.0,Yes,No,0
1195936,1,Train,Frisco,TX,US,75034,Bachelor's,Accounting,,5,5.0,No,No,0
1196641,1,Train,Fort Lauderdale,FL,US,33311,Bachelor's,Business/Project Management,2012-04-01 00:00:00,8,11.0,No,No,0
1197697,1,Train,Charlotte,NC,US,28210,Vocational,,1998-06-01 00:00:00,7,12.0,No,Yes,8
1197751,1,Train,Doral,FL,US,33166,,,,4,4.0,No,No,0
1198048,1,Train,Richmond,VA,US,23227,High School,Governors,2001-06-01 00:00:00,3,11.0,No,No,0
1198464,1,Train,Miami Beach,FL,US,33139,High School,,1983-08-01 00:00:00,1,2.0,No,Yes,3
1198839,1,Test,Orlando,FL,US,32828,PhD,Leadership,2012-06-01 00:00:00,4,23.0,Yes,No,0
1199086,1,Train,Las Vegas,NV,US,89108,Bachelor's,Science Information Systems,2011-05-01 00:00:00,4,12.0,No,No,0
1200048,1,Train,De Soto,MO,US,63020,Bachelor's,Accounting & Communications,1997-05-01 00:00:00,10,13.0,Yes,Yes,25
1201368,1,Train,Seminole,FL,US,33776,,GED,2011-02-01 00:00:00,9,10.0,Yes,No,0
1202282,1,Test,Indianapolis,IN,US,46254,Master's,,2009-05-01 00:00:00,5,6.0,Yes,No,0
